WorkOrderNumber,ProductCode,ProductName,ScheduledDate,ScheduledQuantity,Priority,WorkCenter,EstimatedHours,Status,SupervisorCode
WO20250820001,PRINTER_EP677,Printer Ep Compatible Cartridge 677,2025-09-15,51,Low,WC005,10.1,Completed,SUP005
WO20250820002,PRINTER_LX159,Printer Lx Compatible Cartridge 159,2025-09-19,226,High,WC003,47.8,In Progress,SUP004
WO20250820003,PRINTER_LX941,Printer Lx Compatible Cartridge 941,2025-08-22,645,Normal,WC001,24.8,Completed,SUP002
WO20250820004,PRINTER_BR433,Printer Br Compatible Cartridge 433,2025-09-01,1901,Low,WC005,44.5,Cancelled,SUP003
WO20250820005,PRINTER_CN578,Printer Cn Compatible Cartridge 578,2025-09-02,1440,High,WC010,10.1,In Progress,SUP003
WO20250820006,PRINTER_CN427,Printer Cn Compatible Cartridge 427,2025-09-06,458,High,WC005,7.8,Cancelled,SUP004
WO20250820007,PRINTER_LX188,Printer Lx Compatible Cartridge 188,2025-09-01,1652,Urgent,WC002,10.1,On Hold,SUP003
WO20250820008,PRINTER_LX958,Printer Lx Compatible Cartridge 958,2025-09-10,1509,High,WC008,19.6,On Hold,SUP004
WO20250820009,PRINTER_BR473,Printer Br Compatible Cartridge 473,2025-08-20,1918,Low,WC007,7.9,In Progress,SUP005
WO20250820010,PRINTER_EP806,Printer Ep Compatible Cartridge 806,2025-08-27,1238,High,WC003,31.3,Cancelled,SUP003
WO20250820011,PRINTER_HP774,Printer Hp Compatible Cartridge 774,2025-09-16,854,Normal,WC007,33.5,On Hold,SUP005
WO20250820012,PRINTER_BR860,Printer Br Compatible Cartridge 860,2025-08-21,223,Low,WC005,40.5,Scheduled,SUP003
WO20250820013,PRINTER_LX100,Printer Lx Compatible Cartridge 100,2025-09-15,645,Urgent,WC006,42.0,Scheduled,SUP005
WO20250820014,PRINTER_LX758,Printer Lx Compatible Cartridge 758,2025-09-11,158,Normal,WC009,10.3,On Hold,SUP002
WO20250820015,PRINTER_CN917,Printer Cn Compatible Cartridge 917,2025-09-10,1360,Normal,WC005,31.6,Scheduled,SUP004
WO20250820016,PRINTER_LX705,Printer Lx Compatible Cartridge 705,2025-08-26,284,Low,WC001,10.7,Scheduled,SUP005
WO20250820017,PRINTER_HP254,Printer Hp Compatible Cartridge 254,2025-08-26,262,Urgent,WC001,40.6,On Hold,SUP004
WO20250820018,PRINTER_HP949,Printer Hp Compatible Cartridge 949,2025-08-23,664,Urgent,WC008,47.2,In Progress,SUP005
WO20250820019,PRINTER_EP842,Printer Ep Compatible Cartridge 842,2025-09-08,1445,Urgent,WC010,9.4,In Progress,SUP001
WO20250820020,PRINTER_CN146,Printer Cn Compatible Cartridge 146,2025-09-15,1574,Normal,WC003,26.5,Cancelled,SUP002
WO20250820021,PRINTER_BR492,Printer Br Compatible Cartridge 492,2025-08-29,642,Low,WC010,25.7,Completed,SUP004
WO20250820022,PRINTER_BR715,Printer Br Compatible Cartridge 715,2025-09-14,269,Urgent,WC007,39.8,In Progress,SUP001
WO20250820023,PRINTER_EP469,Printer Ep Compatible Cartridge 469,2025-08-23,1205,Urgent,WC001,29.5,Scheduled,SUP005
WO20250820024,PRINTER_BR044,Printer Br Compatible Cartridge 044,2025-09-18,1907,High,WC003,24.6,On Hold,SUP003
WO20250820025,PRINTER_HP163,Printer Hp Compatible Cartridge 163,2025-08-31,1075,Normal,WC006,43.7,Cancelled,SUP004
WO20250820026,PRINTER_LX065,Printer Lx Compatible Cartridge 065,2025-08-25,1393,Normal,WC006,32.9,Cancelled,SUP003
WO20250820027,PRINTER_BR733,Printer Br Compatible Cartridge 733,2025-09-16,1661,Normal,WC005,38.5,Completed,SUP004
WO20250820028,PRINTER_HP939,Printer Hp Compatible Cartridge 939,2025-09-15,1371,Urgent,WC007,46.4,Cancelled,SUP002
WO20250820029,PRINTER_LX726,Printer Lx Compatible Cartridge 726,2025-09-18,1088,High,WC003,34.7,Cancelled,SUP005
WO20250820030,PRINTER_EP599,Printer Ep Compatible Cartridge 599,2025-09-08,1749,Urgent,WC002,6.0,In Progress,SUP002
WO20250820031,PRINTER_HP682,Printer Hp Compatible Cartridge 682,2025-08-23,1072,Urgent,WC006,37.4,In Progress,SUP001
WO20250820032,PRINTER_CN746,Printer Cn Compatible Cartridge 746,2025-09-17,836,Urgent,WC002,6.7,Completed,SUP001
WO20250820033,PRINTER_HP868,Printer Hp Compatible Cartridge 868,2025-09-12,199,Urgent,WC006,30.7,Scheduled,SUP002
WO20250820034,PRINTER_EP111,Printer Ep Compatible Cartridge 111,2025-09-11,970,Urgent,WC003,47.5,Cancelled,SUP005
