TestID,WorkOrderNumber,ProductCode,TestDate,TestTime,TestType,TestParameter,SpecificationMin,SpecificationMax,ActualValue,Result,InspectorID,BatchLotNumber,SampleSize
QC20250820001,WO20250820222,PRINTER_BR953,2025-08-20,11:38:28,Final,Color Density,75.0,95.0,72.8,Fail,QC001,LOT20250820096,15
QC20250820002,WO20250820072,PRINTER_BR621,2025-08-20,11:30:26,Final,Print Quality,85.0,100.0,97.7,Pass,QC004,LOT20250820055,20
QC20250820003,WO20250820354,PRINTER_HP522,2025-08-20,15:30:25,In-Process,Weight Check,1.0,1.0,0.0,Fail,QC002,LOT20250820056,25
QC20250820004,WO20250820270,PRINTER_EP026,2025-08-20,09:46:41,Outgoing,Color Density,75.0,95.0,83.8,Pass,QC005,LOT20250820021,10
QC20250820005,WO20250820218,PRINTER_BR446,2025-08-20,15:32:53,Incoming,Durability,1.0,1.0,0.0,Fail,QC004,LOT20250820011,20
QC20250820006,WO20250820419,PRINTER_EP174,2025-08-20,10:35:58,Incoming,Dimension Check,1.0,1.0,1.0,Pass,QC002,LOT20250820041,25
QC20250820007,WO20250820275,PRINTER_HP139,2025-08-20,13:21:39,Outgoing,Dimension Check,1.0,1.0,1.0,Pass,QC003,LOT20250820078,20
QC20250820008,WO20250820195,PRINTER_EP026,2025-08-20,16:53:12,Final,Weight Check,1.0,1.0,0.0,Fail,QC001,LOT20250820091,15
QC20250820009,WO20250820064,PRINTER_BR112,2025-08-20,14:21:30,In-Process,Durability,1.0,1.0,0.0,Fail,QC002,LOT20250820076,15
QC20250820010,WO20250820445,PRINTER_BR360,2025-08-20,09:34:34,Outgoing,Ink Volume,8.5,9.5,9.12,Pass,QC003,LOT20250820068,20
QC20250820011,WO20250820021,PRINTER_HP894,2025-08-20,13:49:02,Incoming,Durability,1.0,1.0,0.0,Fail,QC005,LOT20250820091,10
QC20250820012,WO20250820268,PRINTER_BR575,2025-08-20,15:22:40,Outgoing,Print Quality,85.0,100.0,93.8,Pass,QC002,LOT20250820076,10
QC20250820013,WO20250820010,PRINTER_HP105,2025-08-20,10:21:40,Incoming,Ink Volume,8.5,9.5,9.11,Pass,QC006,LOT20250820005,20
